name,category,location,floor,google_maps_search_url,new_google_maps_image_url,notes
Cotton Candy,ขนมหวาน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Cotton%20Candy%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/mwcKCidkk5G6NAKa9,
DibDib,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=DibDib%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Eatpuan,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Eatpuan%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/wExtG3Xu9ansKseA9,Eatduan by Nathong ICONSIAM
El Gaucho,อาหารตะวันตก,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=El%20Gaucho%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Fire Tiger by Seoulcial Club,เครื่องดื่ม,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Fire%20Tiger%20by%20Seoulcial%20Club%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/dAC5mUQdFELL5opB6,
Gaeng Sod,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Gaeng%20Sod%20ICONSIAM%20Bangkok%20Thailand,https://maps.app.goo.gl/L6s7VzQnGa7Xqdi36,
Haruka Sushi Grill & Bar,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Haruka%20Sushi%20Grill%20%26%20Bar%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Have a Zeed,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Have%20a%20Zeed%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/Have+A+Zeed+-+Icon+Siam,+Charoen+Nakhon,+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+Klongsan,+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7264939,100.5106438,3876a,13.1y/data=!4m2!3m1!1s0x30e299239dc86c07:0xa434fd804ef57c28",ตรวจซ้ำแล้ว: พบ Google Maps และแหล่งข้อมูลปัจจุบันของ Have A Zeed สาขา ICONSIAM ชั้น 6
Henri Charpentier,ขนมหวาน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Henri%20Charpentier%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/HENRI+CHARPENTIER+(ICON+SIAM),+299+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7263942,100.5101509,3876a,13.1y/data=!4m2!3m1!1s0x30e2997aaefc1e45:0xb815cdf663281eae",พบ Google Maps สาขา GF
Hitori Shabu,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Hitori%20Shabu%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/HITORI+SHABU+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+ICONSIAM+299+%E0%B8%AD%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%A3%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+4+fl.,+ICON+EATS+Zone+%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88+401%2F2+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88+4+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7263944,100.5106157,3876a,13.1y/data=!4m2!3m1!1s0x30e2990993eb1ea7:0x4d0bcb8a3de33efa",พบ Google Maps สาขา GF
