name,category,location,floor,google_maps_search_url,new_google_maps_image_url,notes
Shao Loong Kan,อาหารจีน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Shao%20Loong%20Kan%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7%E0%B8%AB%E0%B8%A5%E0%B8%87%E0%B8%82%E0%B9%88%E0%B8%B2%E0%B8%99+%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+%E5%B0%8F%E9%BE%99%E5%9D%8E%E6%B3%B0%E5%9B%BD%E6%9B%BC%E8%B0%B7+%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+UG+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7261037,100.5095143,3876a,13.1y/data=!4m2!3m1!1s0x30e29971203c5295:0xfcaea20c0435a6ef",พบ Google Maps สาขา GF
Siam Maningue,อาหารไทย,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Siam%20Maningue%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Sofuto,ขนมหวาน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Sofuto%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Soso Coffee,เครื่องดื่ม,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Soso%20Coffee%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/SOSO+COFFEE+(ICONSIAM)+%E0%B9%82%E0%B8%8B%E0%B9%82%E0%B8%8B%E0%B9%88+%E0%B8%84%E0%B8%AD%E0%B8%9F%E0%B8%9F%E0%B8%B5%E0%B9%88+(%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1)+ICONSIAM+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+5+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7264727,100.5106186,3876a,13.1y/data=!4m2!3m1!1s0x30e299d6d9f1bd65:0xe811728201c15a5d",พบ Google Maps สาขา GF
Tonkatsu Wako,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Tonkatsu%20Wako%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/%E0%B8%97%E0%B8%87%E0%B8%84%E0%B8%B1%E0%B8%95%E0%B8%AA%E0%B8%B6+%E0%B8%A7%E0%B8%B2%E0%B9%82%E0%B8%81+%E0%B9%84%E0%B8%AD%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1+6th+Floor+Icon+Siam+shopping+mall,+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7269103,100.5104784,3876a,13.1y/data=!4m2!3m1!1s0x30e299286e3a92c5:0x190b0be61787c31f",พบ Google Maps สาขา GF
Twopee’s,ขนมหวาน,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Twopee%E2%80%99s%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Unagi Toku,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Unagi%20Toku%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/Unagi+toku,+299+4FL+Rod,+Siam+Takashimaya+5+Soi+Charoen+Nakhyon+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7268649,100.5098686,3876a,13.1y/data=!4m2!3m1!1s0x30e299175ea4d053:0x3eac94d139b855f",พบ Google Maps สาขา GF
Unatoto,อาหารญี่ปุ่น,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Unatoto%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Uno Mas,อาหารตะวันตก,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Uno%20Mas%20ICONSIAM%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Van Hart,เครื่องดื่ม,ICONSIAM,GF,https://www.google.com/maps/search/?api=1&query=Van%20Hart%20ICONSIAM%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/Van+Hart+Organic+Coffee+ICONSIAM+-+Takashimaya+4+Floor,+299+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7271507,100.509551,3876a,13.1y/data=!4m2!3m1!1s0x30e299c313dc4b2b:0x98c15e5b64be1427",พบ Google Maps สาขา GF
Bang Rak Yok Shi,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Bang%20Rak%20Yok%20Shi%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Chuan Chim Chicken Noodles,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Chuan%20Chim%20Chicken%20Noodles%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Chuan Chim Cook-to-order,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Chuan%20Chim%20Cook-to-order%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
DORIMUNKAI,อาหารญี่ปุ่น,ICS,4F,https://www.google.com/maps/search/?api=1&query=DORIMUNKAI%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Giant Exploding Fish Balls,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Giant%20Exploding%20Fish%20Balls%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Guay Jub Damnoen,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Guay%20Jub%20Damnoen%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Hopsy Thai Wild Tea,เครื่องดื่ม,ICS,4F,https://www.google.com/maps/search/?api=1&query=Hopsy%20Thai%20Wild%20Tea%20ICS%20Bangkok%20Thailand,https://www.thebangkokinsight.com/news/business/1676489/,ไม่พบ Google Maps; แหล่งปัจจุบันระบุ HOPSY THAI WILD TEA ที่ ICS
Jame Pad Kra Pao Tray,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Jame%20Pad%20Kra%20Pao%20Tray%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Khon Chiang Khon Prung,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Khon%20Chiang%20Khon%20Prung%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Ko Dom Braised Duck,อาหารจีน,ICS,4F,https://www.google.com/maps/search/?api=1&query=Ko%20Dom%20Braised%20Duck%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
La Yaowarat Fish Balls,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=La%20Yaowarat%20Fish%20Balls%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Mae Klong Champion Pad Thai,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Mae%20Klong%20Champion%20Pad%20Thai%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Moo Ping Thailand,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Moo%20Ping%20Thailand%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Nai Chai Chicken in Gravy on Rice,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Nai%20Chai%20Chicken%20in%20Gravy%20on%20Rice%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Niyom Rues Boat Noodles,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Niyom%20Rues%20Boat%20Noodles%20ICS%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99+4+%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%AA%E0%B8%B2%E0%B8%A7%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B9%8C+@+ICS,+%E0%B9%80%E0%B8%A5%E0%B8%82%E0%B8%97%E0%B8%B5%E0%B9%88+168+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7263048,100.5083867,3876a,13.1y/data=!4m2!3m1!1s0x30e29906c0bc99a1:0xbb3186de80f82521",ชื่อที่พบ: เตี๋ยวเรือเสาวรีย์ @ ICS
Pi Ka Nong Curry Rice,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Pi%20Ka%20Nong%20Curry%20Rice%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Porn Siam,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Porn%20Siam%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Prawn Waree,เครื่องดื่ม,ICS,4F,https://www.google.com/maps/search/?api=1&query=Prawn%20Waree%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Rad Na Kieng Empire,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Rad%20Na%20Kieng%20Empire%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Rich’s Me Drink,เครื่องดื่ม,ICS,4F,https://www.google.com/maps/search/?api=1&query=Rich%E2%80%99s%20Me%20Drink%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Rosrangsan,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Rosrangsan%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Sakon Nakhon,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Sakon%20Nakhon%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Sane Siam,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Sane%20Siam%20ICS%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/%E0%B9%80%E0%B8%AA%E0%B8%99%E0%B9%88%E0%B8%AB%E0%B9%8C%E0%B8%82%E0%B8%99%E0%B8%A1%E0%B8%88%E0%B8%B5%E0%B8%99+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2+3+(ICS)+168+%E0%B8%96.+%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%99%E0%B8%84%E0%B8%A3+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7264398,100.508607,3876a,13.1y/data=!4m2!3m1!1s0x30e29973e84c957b:0xc8b764f84405e76e",ชื่อที่พบ: เสน่ห์ขนมจีน สาขา 3 (ICS); โปรดตรวจว่าเป็นร้านเดียวกับ Sane Siam
Sanekhamjorn,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Sanekhamjorn%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Seng Sim Ee,ขนมหวาน,ICS,4F,https://www.google.com/maps/search/?api=1&query=Seng%20Sim%20Ee%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Shabu Skewers,ชาบู/ปิ้งย่าง,ICS,4F,https://www.google.com/maps/search/?api=1&query=Shabu%20Skewers%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
So Vegan,อาหารวีแกน,ICS,4F,https://www.google.com/maps/search/?api=1&query=So%20Vegan%20ICS%20Bangkok%20Thailand,"https://www.google.com/maps/preview/place/168+%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%994+So+Vegan+(%E0%B9%82%E0%B8%8B%E0%B8%A7%E0%B8%B5%E0%B9%81%E0%B8%81%E0%B8%99)+-+ICS+%E0%B8%AB%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B9%84%E0%B8%AD%E0%B8%8B%E0%B8%B5%E0%B9%80%E0%B8%AD%E0%B8%AA+%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3Lotus%E2%80%99s+Eatery+%E0%B9%81%E0%B8%82%E0%B8%A7%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A3+%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B2%E0%B8%99+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10600/@13.7263986,100.5087387,3876a,13.1y/data=!4m2!3m1!1s0x30e299aa7aba45dd:0x76c0b20a1dd1b5a",พบ Google Maps สาขา 4F
Suki Maverick,ชาบู/ปิ้งย่าง,ICS,4F,https://www.google.com/maps/search/?api=1&query=Suki%20Maverick%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Tang Charoen,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Tang%20Charoen%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Tha Wang Tom Yum Yan Ta Fo,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Tha%20Wang%20Tom%20Yum%20Yan%20Ta%20Fo%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Thip Siam,อาหารไทย,ICS,4F,https://www.google.com/maps/search/?api=1&query=Thip%20Siam%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Torimaru,อาหารญี่ปุ่น,ICS,4F,https://www.google.com/maps/search/?api=1&query=Torimaru%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
Viet Cuisine,อาหารเวียดนาม,ICS,4F,https://www.google.com/maps/search/?api=1&query=Viet%20Cuisine%20ICS%20Bangkok%20Thailand,,ร้านปิดไปแล้วเอาออกหน่อย
